index,canonical_name,mode,status,filename,size_bytes,source_url,source_page,note
1,"AKR ""2 Years Red""",REPLACE_EXISTING,SKIPPED_VALID,akr_2_years_red.webp,35364,,,alpha=88.2912%
2,"AKR ""Arctic Camo""",ADD_NEW,OK_DISCOVERED,akr_arctic_camo.webp,18544,https://ggstand.com/public/storage/items/1775564099ac44eb2adfc51023b9393bbd2f3a8e9f.png,https://ggstand.com/en/case/akr,source=WEBP; alpha=82.2617%
3,"AKR ""Carbon""",REPLACE_EXISTING,SKIPPED_VALID,akr_carbon.webp,30458,,,alpha=85.0204%
4,"AKR ""Digital Burst""",ADD_NEW,OK_DISCOVERED,akr_digital_burst.webp,29634,https://ggstand.com/public/storage/items/16897045977e2594497532ac8bbcfc9681b7c27701.png,https://ggstand.com/en/case/akr,source=WEBP; alpha=90.9126%
5,"AKR ""Dragon""",REPLACE_EXISTING,SKIPPED_VALID,akr_dragon.webp,37240,,,alpha=84.7389%
6,"AKR ""Fabric Storm""",REPLACE_EXISTING,SKIPPED_VALID,akr_fabric_storm.webp,37932,,,alpha=86.0435%
7,"AKR ""Genesis""",REPLACE_EXISTING,SKIPPED_VALID,akr_genesis.webp,21036,,,alpha=82.5485%
8,"AKR ""Mirage Menace""",ADD_NEW,OK_DISCOVERED,akr_mirage_menace.webp,35080,https://ggstand.com/public/storage/items/1693405187359b626835c9112bdd7873fab04b84b1.png,https://ggstand.com/en/case/akr,source=WEBP; alpha=91.7412%
9,"AKR ""Night Fury""",REPLACE_EXISTING,SKIPPED_VALID,akr_night_fury.webp,25340,,,alpha=89.3951%
10,"AKR ""Scylla""",ADD_NEW,OK_DISCOVERED,akr_scylla.webp,32162,https://ggstand.com/public/storage/items/16896920998068ba9f4f2216ad5edc47641853b2ce.png,https://ggstand.com/en/case/akr,source=WEBP; alpha=89.3951%
11,"AKR ""Sketch""",ADD_NEW,OK_DISCOVERED,akr_sketch.webp,23646,https://ggstand.com/public/storage/items/1766142321943e9c0dcbf9785d7b795e68a85e095d.png,https://ggstand.com/en/case/akr,source=WEBP; alpha=82.3753%
12,"AKR ""Sport""",REPLACE_EXISTING,SKIPPED_VALID,akr_sport.webp,34566,,,alpha=85.3462%
13,"AKR ""Treasure Hunter""",REPLACE_EXISTING,SKIPPED_VALID,akr_treasure_hunter.webp,49390,,,alpha=84.9754%
14,"AKR ""Twilight""",ADD_NEW,OK_DISCOVERED,akr_twilight.webp,15760,https://ggstand.com/public/storage/items/177737196222ec63a69a5a338039d3c50cce907a06.png,https://ggstand.com/en/case/akr,source=WEBP; alpha=82.4654%
15,"AKR12 ""Geometric""",ADD_NEW,OK_DISCOVERED,akr12_geometric.webp,38998,https://ggstand.com/public/storage/items/16880794321f06e2a88983683dc21537c6e28932d0.png,https://ggstand.com/en/case/akr12,source=WEBP; alpha=85.7689%
16,"AKR12 ""Kensei""",ADD_NEW,OK_DISCOVERED,akr12_kensei.webp,27462,https://ggstand.com/public/storage/items/17586326718052fcc2cef429e679d17786805c272c.png,https://ggstand.com/en/case/akr12,source=WEBP; alpha=74.2958%
17,"AWM ""Gear""",ADD_NEW,OK_DISCOVERED,awm_gear.webp,27580,https://ggstand.com/public/storage/items/16880802900037bc0f17f83d13a3daf4ffbdff9559.png,https://ggstand.com/en/case/awm,source=WEBP; alpha=87.8975%
18,"AWM ""Genesis""",REPLACE_EXISTING,SKIPPED_VALID,awm_genesis.webp,32450,,,alpha=88.5811%
19,"AWM ""Jade Stone""",ADD_NEW,OK_DISCOVERED,awm_jade_stone.webp,21538,https://ggstand.com/public/storage/items/17709866926d186b31fb1258480445905114743c86.png,https://ggstand.com/en/case/year-of-horse-st-collection,source=WEBP; alpha=73.7175%
20,"AWM ""Nebula""",ADD_NEW,OK_DISCOVERED,awm_nebula.webp,23834,https://ggstand.com/public/storage/items/1689944070c4997fb59ed2dd9930620ad07401a8c5.png,https://ggstand.com/en/case/awm,source=WEBP; alpha=92.2020%
21,"AWM ""Polar Night""",ADD_NEW,OK_DISCOVERED,awm_polar_night.webp,29332,https://ggstand.com/public/storage/items/168808040452504bda1e3ffa1cbbda2b2b1e2c4705.png,https://ggstand.com/en/case/awm,source=WEBP; alpha=87.7396%
22,"AWM ""Stickerbomb""",ADD_NEW,OK_DISCOVERED,awm_stickerbomb.webp,30538,https://ggstand.com/public/storage/items/1689692333cb2c5fa86c1726e0cfd7010f52c243cd.png,https://ggstand.com/en/case/awm,source=WEBP; alpha=90.8989%
23,"Akimbo Uzi ""Yokai""",REPLACE_EXISTING,SKIPPED_VALID,akimbo_uzi_yokai.webp,17698,,,alpha=81.4178%
24,"Berettas ""Cascade""",ADD_NEW,OK_DISCOVERED,berettas_cascade.webp,20962,https://ggstand.com/public/storage/items/1756134533dbc52bcafebc39ab02378dc77a0178a3.png,https://ggstand.com/en/case/berettas,source=WEBP; alpha=83.1833%
25,"Butterfly ""Black Widow""",REPLACE_EXISTING,SKIPPED_VALID,butterfly_black_widow.webp,9836,,,alpha=92.1120%
26,"Butterfly ""Dragon Glass""",ADD_NEW,OK_DISCOVERED,butterfly_dragon_glass.webp,13572,https://ggstand.com/public/storage/items/1771274836967e47283139b6ab33cd8c687dceb72e.png,https://ggstand.com/en/case/ezknife-m-st,source=WEBP; alpha=92.1120%
27,"Butterfly ""Jade Stone""",ADD_NEW,OK_DISCOVERED,butterfly_jade_stone.webp,15902,https://ggstand.com/public/storage/items/17712374635053b9592564d243615c4411e94bb4d5.png,https://ggstand.com/en/case/year-of-horse-st-collection,source=WEBP; alpha=91.9525%
28,"Butterfly ""Legacy""",REPLACE_EXISTING,SKIPPED_VALID,butterfly_legacy.webp,19946,,,alpha=96.1853%
29,"Desert Eagle ""Dragon Glass""",ADD_NEW,OK_DISCOVERED,desert_eagle_dragon_glass.webp,27658,https://ggstand.io/public/storage/items/16880806961e7419157bd7b862885cfc13bb394818.png,https://ggstand.io/ru/case/deagle,source=WEBP; alpha=83.4091%
30,"Desert Eagle ""Eclipse""",ADD_NEW,OK_DISCOVERED,desert_eagle_eclipse.webp,19270,https://ggstand.io/public/storage/items/174282806429d307817c36e6656997ad695365e482.png,https://ggstand.io/ru/case/deagle,source=WEBP; alpha=78.4744%
31,"Desert Eagle ""Infection""",ADD_NEW,OK_DISCOVERED,desert_eagle_infection.webp,28196,https://ggstand.io/public/storage/items/16897047008d0a43313af5b5859faf1a2098401161.png,https://ggstand.io/ru/case/deagle,source=WEBP; alpha=79.3442%
